Item,Price
Агат,"650
"
Агатовый кулон,"439
"
Аквамарин,"1000
"
Алаитское ожерелье,"20000
"
Алмаз,"35000
"
Альфа-бур,"3999
"
Амальгама,"1199
"
Аметист,"6990
"
Анкх,"7000
"
Белая глина,"389
"
Белая жемчужина,"1000
"
Белая трава,"100
"
Белое перо,
Белок,"1350
"
Белый гриб,"1000
"
Белый песок,"194
"
Бледная поганка,
Болт,"1000
"
Брюшко филлера,"225
"
Бубен,"17000
"
Ветвь энта,"500
"
Ветка шипованного куста,"150
"
Ветки тростника,"600
"
Волчий клык,
Волшебное зеркальце,
Вытяжка из листьев гиома,
Газ-клапан,"183
"
Гайка,"12500
"
Гвоздь,"3500
"
Гиацинт,"1440
"
Гибкие жилы,"3498
"
Гибкий зубной нерв,"12869
"
Глаз Гарма,"1140
"
Глаз богомола,"55
"
Глаз злобоглаза,"1490
"
Глаз змеи,"1999
"
Глаз камнееда,"1210
"
Глаза ночной жужи,"2900
"
Гоблинский бумеранг,"299
"
Голова снегобея,"1250
"
Голубая щелочь,"1300
"
Горный хрусталь,"900
"
Гранат,"3990
"
Гранит,"1750
"
Гриб Волчанка,"1900
"
Грибница,"300
"
Густой сок,"1000
"
Диетическое зерно,
Дикий кристалл,"1150
"
Договор с Остином,"4597
"
Древесная шляпа,"555
"
Древесник,"3289
"
Душа пламени,"2000
"
Дьявольские рога,"10000
"
Дьявольские рожки,"166
"
Едкая кислота,"199
"
Елочные игрушки,"7500
"
Жаберный клапан,"101
"
Жало осы,"650
"
Жало скорпиона,"105
"
Жгучее щупальце,"3500
"
Желатин,"300
"
Желе,
Железное сердце,
Железный хлам,"900
"
Жетон Чистильщика,"60000
"
Жетон дуаноборца,
Живой лед,"1990
"
Желтая трава,"500
"
Заклинившая бомба,"8894
"
Закрученный рог,"9698
"
Защитная пластина,"2222
"
Звездная пыль,"499
"
Зеленорост,"4798
"
Зеленая конфетная обертка,
Зеленая слизь,"555
"
Зеленая трава,"100
"
Зеленый мох,
Зеркальный амулет,"20000
"
Зеркальный осколок,"10000
"
Змеиная кожа,"75
"
Золотая фольга,
Золотое копыто,"1499
"
Золотой браслет,"450
"
Золотой зуб,"900
"
Золотой скарабей,"3800
"
Зубной нерв,"696
"
Игральные кости,"2035
"
Изумруд,"4000
"
Икра хваги,"2999
"
Индевень,"2195
"
Искристая слизь,"939
"
Истлевшие бинты,"501
"
Какао-порошок,"100
"
Каменная кожа,"650
"
Каменная кость,"599
"
Каменное сердце,"29000
"
Кандалы,"1190
"
Канифоль,"2500
"
Капля смолы,"339
"
Кварц,"9796
"
Кедровая шишка,"200
"
Киноварь,"1799
"
Клевер,"2999
"
Клешня краба,"150
"
Клешня скорпиона,"105
"
Клубень зеленороста,"3300
"
Клубок паутины,"147
"
Клык оборотня,"100
"
Клык орка,"202
"
Клыки летучей мыши,"3000
"
Коготь оборотня,"150
"
Копыто,"3499
"
Корень мандрагоры,"390
"
Корень мункуса,"4060
"
Корень толстоцвета,"1900
"
Корешок Эльтана,"700
"
Кость скелета,"200
"
Костяное оперение,"1398
"
Красивое перо,"2000
"
Красная конфетная обертка,
Красный коралл,"9000
"
Красный цветок,"50
"
Кристалл крови,
Кровавый договор,"9400
"
Кровь нетопыря,"90
"
Кровь оборотня,"520
"
Крупица моземия,"222
"
Крупный желудь,
Крылья летучей мыши,
Крысиная шкура,"145
"
Крысиный хвост,"990
"
Кукум,
Куски кремния,"700
"
Кусок мяса,"70
"
Кучка старой пыли,"27900
"
Ледовый серпантин,"2499
"
Ледяное серебро,"20000
"
Летучий мешок,"200
"
Липкое волокно,"780
"
Лист толстоцвета,"995
"
Ловец зимних снов,
Лягушачья икра,"300
"
Манипулятор,"4000
"
Маска шамана,"740
"
Масленка,"320
"
Медальон жажды,"19575
"
Медальон страсти,"2690
"
Медная трубка,"995
"
Медный браслет,
Мембрана,"8999
"
Мерцающая пыльца,"185
"
Мерцающий мох,"470
"
Мискорианское масло,
Молодые одуванчики,"2099
"
Морион,"10900
"
Морская тина,"500
"
Морской Орех,"890
"
Мука,"100
"
Муравьиная кислота,"300
"
Муравьиные усики,"450
"
Мухомор,
Мягкая шерсть,"3500
"
Мясо варана,"1000
"
Мясо древней улитки,"95
"
Мясо змеи,"80
"
Мясо одуванчика,"1200
"
Мясо островной улитки,"100
"
Мясо снежной жужи,"4500
"
Мясо улитки,
Мед ройлера,"180
"
Набор цветных контактов,"450
"
Нектар полевых цветов,
Нефрит,"7000
"
Обломок ножа,"50
"
Обыканская морошка,"4100
"
Огненная искра,"250
"
Огнеупорная чешуя,"27500
"
Опал,"2990
"
Оранжевая конфетная обертка,
Орбитула,"188
"
Осколок звезды,"1300
"
Осколок раковины,"84
"
Осколок хрустальной реки,"1099
"
Остролист,"1840
"
Острые жвалы,"250
"
Отловленный керок,
Ошейник вальдерстая,"6999
"
Панцирь железной жужи,"400
"
Панцирь жужи,"395
"
Панцирь мерцающей жужи,"1420
"
Панцирь северной жужи,"749
"
Панцирь снегобея,"29500
"
Панцирь ядовитого таракана,"497
"
Пеньковая трава,"70
"
Пепел огненного элементаля,"1999
"
Перепонка,"2400
"
Перстень стража,"4999
"
Пещерная соль,"7500
"
Платье Алисы,"1945
"
Плоды Упрямки,"1000
"
Позвонок,"36888
"
Полено,"200000
"
Ползучее корневище,
Порох,"620
"
Портативная дубинка,"950
"
Посох сумрачного хаттлера,"8001
"
Прах,"82
"
Присоска,"71
"
Пристрелочный монокуляр,"9999
"
Прозрачные крылышки,"280
"
Проклятая кровь,"250
"
Пружинка,"3198
"
Пупырчатый мозг,"1000
"
Пучок синей шерсти,"24120
"
Пушинка Одуванчика,"349
"
Пыльца песчаной жужи,"250
"
Регулятор снегобея,"3900
"
Речная жемчужина,
Ржавая гайка,"13000
"
Ржавая пружина,"29000
"
Ржавый болт,"70000
"
Ржавый доспех,"1500
"
Рог Овна,"665
"
Рог слепой жужи,"77
"
Роговой шип,"4899
"
Розалия,"1088
"
Ройкин глаз,"8111
"
Росa,
Рубин,"4990
"
Сало,"999
"
Самоцветы,"1000
"
Сапфир,"5040
"
Сверкающая чешуйка,"100
"
Сверкающие елочные игрушки,
Северный мох,"120
"
Семена кленов,
Семена морошки,"7800
"
Сера,
Сердце Террана,"5800
"
Сердце стужи,"129999
"
Серпантинный жук,"499
"
Серый песок,"2888
"
Синий диск,"1300
"
Синий мох,"999
"
Синильник,"3400
"
Синяя поганка,"725
"
Скорлупа,"4900
"
Скорлупа Желудя,
Сладкие специи,"100
"
Слеза Ауры,"19988886
"
Слипшиеся ракушки,"14376
"
Слюда,"680
"
Слюна вальдерстая,"3899
"
Снежная пыль,
Сонные шары,"2300
"
Сочная мякоть,"599
"
Старая кость,"199
"
Старая куртка Балдера,
Старинная монета,"1500
"
Старое письмо Балдера,
Стланик,"2899
"
Стланиковая шишка,
Стрелки часов,"900
"
Сухожилия бафомета,"48
"
Сухой лист,"500
"
Сырые семечки,"999
"
Твердый сплав,"6500
"
Терморегулятор,"438
"
Тигровый глаз,"5625
"
Титановая пластина,"715
"
Титановые лезвия,"250
"
Ткань зомби,"14000
"
Токсичный гриб,"2790
"
Толстоцвет,"5900
"
Топаз,"3700
"
Тряпичная кукла,"195
"
Тряпичное сердце,"500
"
Тыква,"1000
"
Тяжелая вода,"1490
"
Усики бзыкалки,"100
"
Усики слепой жужи,
Феромоновая пыльца,"777
"
Фрагмент адских поводьев,
Хабульский корунд,"6399
"
Хауловые ребрышки,
Хвост Металлера,"1190
"
Хвост скорпиона,"120
"
Хвостик ройки,"2111
"
Хвоя стланика,"785
"
Хитиновая пластина,"348
"
Хитиновая трубка,"2780
"
Хмель,"700
"
Хоботок гнусмаса,"1500
"
Холодный песок,"1000
"
Хрустящий стебель,"3900
"
Цветок Логруса,"2200
"
Цветы травы Джи,"1400
"
Целебный мох,"590
"
Частица тьмы,"180
"
Челюсть крылозуба,"1890
"
Череп,"299
"
Череп огра,"1084
"
Черная жемчужина,"37999
"
Черная икра,"1589
"
Черная трава,"100
"
Черный коралл,"7499
"
Черный песок,"77
"
Шелковинка,
Шестеренка,"284
"
Шкура Хаула,
Шкура вальдерстая,"1888
"
Шкура волка,
Шкура гарма,"2200
"
Шкура голодного люпуса,"4500
"
Шкура грибоедки,"13999
"
Шкура кабана,"50
"
Шкура нижада,"5901
"
Шкура оборотня,"100
"
Шкура саламандры,"4799
"
Шкура свирепого люпуса,"10000
"
Шляпка гриба,"200
"
Шуруп,"3000
"
Шелковое сердце,"990
"
Щепка,
Эктоплазма,"1000000000
"
Элениумное сплетение,"4980
"
Эссенция вампирской крови,"599
"
Ягоды верляники,"500
"
Яд гадюки,"2000
"
Ядовитая железа,"50
"
Ядовитое перо,"3246
"
Язык гончей,"80500
"
Яйцо ройки,"1270
"
Яйцо тортоллы,"2666
"
Янтарная смола,"100
"
Ячейки памяти,"1000
"
